checkpoint,op_min_ms,op_avg_ms,op_max_ms,local_min_ms,local_avg_ms,local_max_ms,network_min_ms,network_avg_ms,network_max_ms,network_jitter_ms,twin_min_ms,twin_avg_ms,twin_max_ms
8,22.13,22.13,22.13,20.1,20.1,20.1,4.39,4.39,4.39,0.0,,,
16,28.75,575.65,2506.58,20.1,509.57,2504.53,3.69,4.11,4.66,0.42,,,
32,23.63,1068.62,5054.87,20.1,864.16,5048.3,3.69,4.28,5.9,0.43,,,
64,27.04,1386.17,8681.03,21.14,1225.73,8674.36,3.73,5.44,15.07,0.83,,,
128,28.28,3604.06,19268.85,26.46,3767.22,19261.85,8.9,13.54,22.48,1.36,,,
