checkpoint,op_min_ms,op_avg_ms,op_max_ms,local_min_ms,local_avg_ms,local_max_ms,network_min_ms,network_avg_ms,network_max_ms,network_jitter_ms,twin_min_ms,twin_avg_ms,twin_max_ms
8,20.8,20.8,20.8,18.85,18.85,18.85,4.12,4.12,4.12,0.0,,,
16,24.96,617.17,2603.63,18.85,546.14,2597.92,3.79,4.14,4.68,0.38,,,
32,24.1,1036.25,4895.32,18.85,857.03,4892.88,3.22,4.21,5.49,0.49,,,
64,24.56,1380.13,8734.62,19.98,1210.9,8727.89,3.22,5.31,10.25,0.8,,,
128,26.99,3582.58,18820.86,26.22,3739.0,18808.26,8.99,13.35,21.44,1.75,,,
