checkpoint,op_min_ms,op_avg_ms,op_max_ms,local_min_ms,local_avg_ms,local_max_ms,network_min_ms,network_avg_ms,network_max_ms,network_jitter_ms,twin_min_ms,twin_avg_ms,twin_max_ms
8,28.64,28.64,28.64,26.53,26.53,26.53,4.87,4.87,4.87,,,,
16,24.5,579.06,2490.94,21.77,514.29,2488.83,3.58,4.05,4.87,,,,
32,24.07,1041.44,5006.43,21.77,849.46,5003.46,3.15,4.07,4.87,,,,
64,25.92,1369.85,8842.38,21.79,1208.09,8835.06,3.15,5.02,10.16,,,,
128,29.35,3543.25,18780.45,26.53,3699.71,18771.35,8.81,13.04,19.87,,,,
