op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
router,r23,99,338.86,449.13,442.26,449.13,889,15835.06,17.6,
host,h77,100,93.03,75.36,68.13,93.03,105,11146.5,9.4,
host,h78,101,39.03,71.07,63.6,71.07,105,11819.33,9.0,
router,r24,102,331.26,405.31,399.04,405.31,889,17547.06,9.5,
host,h79,103,86.15,75.82,68.76,86.15,105,11078.87,0.0,
host,h80,104,62.74,70.04,63.69,70.04,105,11993.15,9.7,
host,h81,105,43.49,79.72,74.96,79.72,105,10536.88,8.7,
host,h82,106,51.52,76.89,71.24,76.89,105,10924.7,9.4,
host,h83,107,59.65,78.89,69.69,78.89,105,10647.74,9.4,
host,h84,108,90.76,76.03,68.66,90.76,105,11048.27,9.9,
router,r25,109,426.72,445.57,433.1,445.57,1284,23053.62,9.9,
host,h85,110,40.11,75.27,70.9,75.27,105,11159.82,0.0,
host,h86,111,89.23,71.19,65.11,89.23,105,11799.41,10.0,
router,r26,112,315.14,441.69,438.01,441.69,1284,23256.13,10.9,
host,h87,113,73.6,80.59,75.48,80.59,105,10423.13,8.8,
host,h88,114,83.74,78.11,66.94,83.74,105,10754.06,10.4,
host,h89,115,86.9,72.34,66.87,86.9,105,11611.83,0.0,
host,h90,116,52.13,83.73,76.12,83.73,105,10032.25,9.6,
router,r27,117,348.77,438.84,434.46,438.84,889,16206.36,10.4,
host,h91,118,95.42,88.25,78.83,95.42,105,9518.41,9.6,
host,h92,119,76.98,81.97,72.78,81.97,105,10247.65,9.9,
router,r28,120,420.61,418.44,401.06,420.61,889,16996.46,10.3,
host,h93,121,94.32,88.1,80.7,94.32,105,9534.62,0.0,
host,h94,122,72.14,93.75,84.13,93.75,105,8960.0,8.8,
host,h95,123,93.25,90.04,76.51,93.25,105,9329.19,9.9,
host,h96,124,81.23,84.8,74.84,84.8,105,9905.66,9.8,
router,r29,125,457.44,449.39,433.63,457.44,751,13369.23,17.1,
host,h97,126,59.89,84.19,79.49,84.19,105,9977.43,10.0,
host,h98,127,40.78,74.59,70.84,74.59,105,11261.56,10.0,
router,r30,128,385.02,467.09,461.02,467.09,751,12862.62,10.2,
