op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h6,8,32.13,68.76,63.9,68.76,100,11634.67,0.0,
router,r3,9,335.23,278.99,269.53,335.23,754,21620.85,9.4,
host,h7,10,74.8,73.15,65.44,74.8,100,10936.43,0.0,
host,h8,11,70.0,69.86,58.08,70.0,100,11451.47,9.0,
router,r4,12,245.47,287.66,281.98,287.66,754,20969.2,9.9,
host,h9,13,80.75,75.42,62.06,80.75,100,10607.27,8.4,
host,h10,14,50.15,59.76,54.71,59.76,101,13520.75,8.6,
host,h11,15,73.41,66.31,57.19,73.41,101,12185.19,10.0,
host,h12,16,72.53,62.48,52.98,72.53,101,12932.14,0.0,
router,r5,17,246.85,304.79,291.93,304.79,1401,36772.86,8.7,
host,h13,18,79.31,70.25,59.82,79.31,101,11501.78,9.6,
host,h14,19,74.34,59.38,52.31,74.34,101,13607.28,9.6,
router,r6,20,354.11,300.53,289.69,354.11,1401,37294.11,9.5,
host,h15,21,78.32,62.61,55.04,78.32,101,12905.29,0.0,
host,h16,22,72.79,68.11,57.48,72.79,101,11863.16,8.1,
router,r7,23,328.72,299.55,288.56,328.72,861,22994.49,8.6,
host,h17,24,71.82,68.09,61.29,71.82,101,11866.65,0.0,
host,h18,25,26.72,57.46,54.06,57.46,101,14061.96,7.8,
router,r8,26,273.03,301.82,290.99,301.82,861,22821.55,0.0,
host,h19,27,78.46,74.55,64.78,78.46,101,10838.36,7.3,
host,h20,28,71.8,63.47,56.09,71.8,101,12730.42,7.9,
host,h21,29,26.63,59.55,53.78,59.55,101,13568.43,7.9,
host,h22,30,27.57,62.43,58.8,62.43,101,12942.5,8.2,
host,h23,31,57.1,59.89,54.96,59.89,101,13491.4,8.0,
host,h24,32,36.63,59.8,54.57,59.8,101,13511.71,8.6,
host,h25,33,70.59,74.57,65.52,74.57,101,10835.46,8.7,
host,h26,34,73.2,75.38,59.94,75.38,101,10719.02,9.2,
host,h27,35,32.61,64.1,59.7,64.1,101,12605.3,9.3,
host,h28,36,71.03,63.45,54.94,71.03,101,12734.44,8.5,
host,h29,37,79.53,68.59,58.31,79.53,101,11780.14,10.3,
host,h30,38,79.6,67.35,59.73,79.6,101,11997.03,9.6,
host,h31,39,74.74,82.03,73.35,82.03,101,9850.05,9.8,
router,r9,40,314.48,309.22,301.12,314.48,861,22275.4,9.8,
host,h32,41,78.47,76.62,63.39,78.47,101,10545.55,8.4,
host,h33,42,76.3,65.99,56.19,76.3,101,12244.28,8.6,
router,r10,43,334.04,324.55,311.47,334.04,874,21543.68,8.6,
host,h34,44,79.96,69.97,63.9,79.96,105,12005.15,8.1,
host,h35,45,55.32,67.82,62.25,67.82,105,12385.73,8.0,
router,r11,46,344.25,339.98,330.59,344.25,1530,36002.12,8.1,
host,h36,47,77.83,83.95,69.06,83.95,105,10005.96,8.2,
host,h37,48,53.98,66.53,61.53,66.53,105,12625.88,8.4,
router,r12,49,333.07,376.71,357.95,376.71,1535,32598.02,8.7,
host,h38,50,68.76,65.84,56.27,68.76,105,12758.2,0.0,
host,h39,51,82.51,66.86,55.69,82.51,105,12563.57,8.2,
host,h40,52,72.69,70.36,60.91,72.69,101,11483.8,10.0,
host,h41,53,40.07,65.68,59.41,65.68,101,12302.07,8.2,
host,h42,54,58.04,68.54,61.78,68.54,101,11788.74,9.7,
host,h43,55,77.56,66.24,58.32,77.56,101,12198.07,10.0,
host,h44,56,76.92,62.87,55.11,76.92,101,12851.92,8.3,
host,h45,57,74.6,66.83,59.34,74.6,101,12090.38,9.2,
host,h46,58,75.44,84.47,75.02,84.47,105,9944.36,8.7,
host,h47,59,80.73,72.52,62.26,80.73,105,11583.01,10.2,
host,h48,60,39.31,60.7,56.33,60.7,105,13838.55,9.2,
router,r13,61,368.21,349.77,341.76,368.21,741,16948.28,9.8,
host,h49,62,74.76,78.02,66.98,78.02,105,10766.47,9.2,
host,h50,63,75.1,66.29,55.56,75.1,105,12671.59,0.0,
router,r14,64,255.64,351.61,340.77,351.61,750,17064.36,14.9,
host,h51,65,77.24,80.14,70.91,80.14,105,10481.66,7.3,
host,h52,66,80.52,68.62,60.41,80.52,105,12241.33,8.9,
router,r15,67,270.77,360.14,350.42,360.14,887,19703.45,9.1,
host,h53,68,85.23,76.83,64.81,85.23,105,10933.23,0.0,
host,h54,69,43.41,70.58,66.24,70.58,105,11901.39,9.2,
router,r16,70,291.3,369.97,362.25,369.97,887,19179.93,11.3,
host,h55,71,83.11,81.49,68.25,83.11,105,10308.01,0.0,
host,h56,72,76.64,84.09,76.27,84.09,105,9989.3,9.1,
router,r17,73,339.13,372.48,360.93,372.48,750,16108.25,9.0,
host,h57,74,38.66,73.48,67.78,73.48,105,11431.68,9.3,
host,h58,75,33.28,67.72,62.62,67.72,105,12404.02,0.0,
router,r18,76,371.45,384.33,369.92,384.33,751,15632.4,9.9,
host,h59,77,44.22,71.78,67.52,71.78,105,11702.42,12.3,
host,h60,78,88.34,75.98,62.93,88.34,105,11055.54,12.1,
router,r19,79,386.11,426.85,416.37,426.85,1421,26632.31,0.0,
host,h61,80,39.99,73.86,69.21,73.86,105,11372.87,0.0,
host,h62,81,75.46,75.46,66.75,75.46,105,11131.73,10.7,
router,r20,82,288.76,405.13,397.61,405.13,1422,28079.88,12.2,
host,h63,83,79.33,84.03,69.81,84.03,105,9996.43,0.0,
host,h64,84,40.63,68.13,64.37,68.13,105,12329.37,0.0,
host,h65,85,38.81,66.62,63.37,66.62,105,12608.83,9.3,
host,h66,86,81.53,67.43,55.62,81.53,105,12457.36,0.0,
host,h67,87,89.2,72.92,62.97,89.2,105,11519.47,13.1,
host,h68,88,77.59,72.33,63.94,77.59,105,11613.44,10.8,
host,h69,89,89.73,76.12,67.08,89.73,105,11035.21,11.0,
host,h70,90,33.67,68.17,63.12,68.17,105,12322.14,10.0,
host,h71,91,41.88,61.78,57.39,61.78,105,13596.63,9.4,
host,h72,92,44.75,88.82,84.84,88.82,105,9457.33,8.5,
router,r21,93,423.39,440.09,428.35,440.09,751,13651.75,9.6,
host,h73,94,45.03,68.49,63.64,68.49,105,12264.56,10.2,
host,h74,95,45.19,71.95,65.19,71.95,105,11674.77,7.2,
router,r22,96,293.27,405.41,399.96,405.41,751,14819.57,9.8,
host,h75,97,93.09,73.37,63.5,93.09,105,11448.82,0.0,
host,h76,98,38.06,70.34,64.59,70.34,105,11942.0,8.3,
