op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h6,8,25.04,54.6,50.11,54.6,100,14652.01,0.0,
router,r3,9,249.39,254.06,247.87,254.06,754,23742.42,8.2,
host,h7,10,70.2,60.06,56.21,70.2,100,13320.01,9.3,
host,h8,11,25.96,53.67,50.43,53.67,100,14905.91,9.3,
router,r4,12,281.53,267.33,264.07,281.53,754,22563.87,8.2,
host,h9,13,74.22,60.12,55.89,74.22,100,13306.72,0.0,
host,h10,14,26.83,54.92,52.02,54.92,101,14712.31,0.0,
host,h11,15,49.86,54.13,49.8,54.13,101,14927.03,7.0,
host,h12,16,71.1,52.86,49.52,71.1,101,15285.66,9.0,
router,r5,17,387.96,277.37,269.66,387.96,1401,40408.12,7.5,
host,h13,18,36.13,52.24,48.72,52.24,101,15467.08,8.7,
host,h14,19,39.33,52.7,49.28,52.7,101,15332.07,9.0,
router,r6,20,288.27,274.85,266.81,288.27,1401,40778.61,12.1,
host,h15,21,38.54,58.98,53.03,58.98,101,13699.56,10.6,
host,h16,22,26.53,56.12,52.45,56.12,101,14397.72,9.2,
router,r7,23,223.35,259.9,251.56,259.9,861,26502.5,10.3,
host,h17,24,30.97,58.69,55.05,58.69,101,13767.25,0.0,
host,h18,25,23.45,60.92,56.17,60.92,101,13263.3,9.1,
router,r8,26,232.97,271.87,265.8,271.87,861,25335.64,12.0,
host,h19,27,26.62,58.0,54.22,58.0,101,13931.03,9.2,
host,h20,28,71.06,52.81,49.13,71.06,101,15300.13,6.6,
host,h21,29,38.54,64.8,61.23,64.8,101,12469.14,5.0,
host,h22,30,29.63,66.3,63.15,66.3,101,12187.03,4.0,
host,h23,31,26.13,57.54,53.91,57.54,101,14042.41,5.0,
host,h24,32,57.2,58.7,54.9,58.7,101,13764.91,6.2,
host,h25,33,72.66,60.45,56.53,72.66,101,13366.42,8.6,
host,h26,34,24.88,55.0,51.94,55.0,101,14690.91,4.5,
host,h27,35,40.68,53.97,50.68,53.97,101,14971.28,4.3,
host,h28,36,28.83,57.44,53.0,57.44,101,14066.85,3.5,
host,h29,37,78.75,59.21,55.68,78.75,101,13646.34,7.5,
host,h30,38,33.5,61.04,57.37,61.04,101,13237.22,4.4,
host,h31,39,28.79,66.32,63.48,66.32,101,12183.35,3.2,
router,r9,40,352.54,280.78,275.83,352.54,861,24531.66,6.1,
host,h32,41,27.3,68.77,63.34,68.77,101,11749.31,0.0,
host,h33,42,76.24,64.33,60.6,76.24,101,12560.24,6.0,
router,r10,43,358.01,298.71,294.52,358.01,874,23407.32,6.3,
host,h34,44,49.06,63.63,57.92,63.63,105,13201.32,4.5,
host,h35,45,29.62,63.07,59.4,63.07,105,13318.53,6.2,
router,r11,46,268.32,323.52,314.34,323.52,1530,37833.83,13.7,
host,h36,47,59.28,58.8,55.5,59.28,105,14285.71,0.0,
host,h37,48,56.6,71.46,67.98,71.46,105,11754.83,6.7,
router,r12,49,286.4,309.38,299.28,309.38,1535,39692.29,9.8,
host,h38,50,42.89,63.59,59.57,63.59,105,13209.62,7.7,
host,h39,51,65.59,59.06,54.76,65.59,105,14222.82,7.7,
host,h40,52,76.21,68.83,64.63,76.21,101,11739.07,11.6,
host,h41,53,38.39,64.74,60.88,64.74,101,12480.69,0.0,
host,h42,54,73.54,72.83,67.13,73.54,101,11094.33,10.2,
host,h43,55,71.39,66.21,62.71,71.39,101,12203.59,11.3,
host,h44,56,74.91,56.9,52.99,74.91,101,14200.35,9.2,
host,h45,57,78.23,70.16,65.91,78.23,101,11516.53,6.5,
host,h46,58,82.21,70.8,64.87,82.21,105,11864.41,7.7,
host,h47,59,75.12,65.46,60.28,75.12,105,12832.26,7.1,
host,h48,60,77.1,61.98,57.21,77.1,105,13552.76,0.0,
router,r13,61,230.79,294.52,284.35,294.52,741,20127.67,7.7,
host,h49,62,32.72,67.09,63.93,67.09,105,12520.49,0.0,
host,h50,63,72.51,77.18,72.61,77.18,105,10883.65,14.0,
router,r14,64,340.4,299.02,291.89,340.4,750,20065.55,8.0,
host,h51,65,77.91,76.06,72.53,77.91,105,11043.91,9.0,
host,h52,66,79.72,99.23,91.32,99.23,105,8465.18,8.9,
router,r15,67,316.28,306.42,295.4,316.28,887,23157.76,9.2,
host,h53,68,75.76,70.01,65.39,75.76,105,11998.29,8.7,
host,h54,69,67.98,65.89,61.31,67.98,105,12748.52,9.5,
router,r16,70,268.09,308.6,292.32,308.6,887,22994.17,10.4,
host,h55,71,76.34,68.68,65.49,76.34,105,12230.63,0.0,
host,h56,72,83.73,68.1,64.31,83.73,105,12334.8,10.0,
router,r17,73,336.72,309.39,302.05,336.72,750,19393.0,9.8,
host,h57,74,75.73,71.16,67.06,75.73,105,11804.38,9.3,
host,h58,75,76.72,71.86,67.49,76.72,105,11689.4,10.2,
router,r18,76,332.85,301.56,295.66,332.85,751,19923.07,9.0,
host,h59,77,76.55,66.77,62.89,76.55,105,12580.5,0.0,
host,h60,78,55.2,69.18,64.71,69.18,105,12142.24,0.0,
router,r19,79,306.43,366.15,326.09,366.15,1421,31047.38,12.1,
host,h61,80,40.73,72.79,68.47,72.79,105,11540.05,9.5,
host,h62,81,79.16,72.79,69.42,79.16,105,11540.05,9.6,
router,r20,82,352.86,377.6,360.4,377.6,1422,30127.12,0.0,
host,h63,83,84.36,73.99,70.37,84.36,105,11352.89,0.0,
host,h64,84,79.39,71.36,67.11,79.39,105,11771.3,9.7,
host,h65,85,78.24,64.43,60.16,78.24,105,13037.4,9.6,
host,h66,86,60.72,69.16,64.78,69.16,105,12145.75,10.2,
host,h67,87,79.43,70.95,65.1,79.43,105,11839.32,9.4,
host,h68,88,81.86,67.72,63.94,81.86,105,12404.02,10.2,
host,h69,89,32.86,68.54,64.55,68.54,105,12255.62,9.6,
host,h70,90,83.87,62.42,58.6,83.87,105,13457.23,9.8,
host,h71,91,60.53,72.9,69.45,72.9,105,11522.63,10.0,
host,h72,92,43.15,69.64,64.71,69.64,105,12062.03,9.6,
router,r21,93,313.11,328.76,313.83,328.76,751,18274.73,10.5,
host,h73,94,91.26,82.78,75.7,91.26,105,10147.38,9.8,
host,h74,95,38.47,70.73,67.7,70.73,105,11876.15,8.9,
router,r22,96,249.41,332.46,314.18,332.46,751,18071.35,10.7,
host,h75,97,44.73,70.65,67.11,70.65,105,11889.6,0.0,
host,h76,98,79.77,75.47,69.61,79.77,105,11130.25,9.7,
router,r23,99,319.74,348.99,326.64,348.99,889,20378.81,12.5,
host,h77,100,62.39,71.37,66.71,71.37,105,11769.65,0.0,
host,h78,101,55.8,70.48,66.97,70.48,105,11918.27,9.8,
router,r24,102,360.18,347.31,330.21,360.18,889,20477.38,12.1,
host,h79,103,51.67,77.28,73.19,77.28,105,10869.57,0.0,
host,h80,104,86.21,74.07,70.6,86.21,105,11340.62,9.8,
host,h81,105,51.99,70.41,67.5,70.41,105,11930.12,9.9,
host,h82,106,39.91,72.52,69.06,72.52,105,11583.01,8.5,
host,h83,107,53.38,76.34,71.36,76.34,105,11003.41,9.9,
host,h84,108,38.1,67.53,63.43,67.53,105,12438.92,9.5,
router,r25,109,261.32,411.68,389.89,411.68,1284,24951.42,17.8,
host,h85,110,57.86,81.96,78.82,81.96,105,10248.9,10.0,
host,h86,111,88.6,75.38,71.26,88.6,105,11143.54,13.4,
router,r26,112,335.26,380.23,364.19,380.23,1284,27015.23,12.5,
host,h87,113,83.69,81.06,77.21,83.69,105,10362.69,11.9,
host,h88,114,90.38,89.23,85.53,90.38,105,9413.87,10.2,
host,h89,115,41.03,76.33,72.92,76.33,105,11004.85,9.9,
host,h90,116,39.12,75.81,70.82,75.81,105,11080.33,8.8,
router,r27,117,301.2,358.3,335.62,358.3,889,19849.29,15.3,
host,h91,118,90.57,79.53,74.71,90.57,105,10562.05,10.6,
host,h92,119,96.08,81.28,77.57,96.08,105,10334.65,11.4,
router,r28,120,314.4,335.89,317.8,335.89,889,21173.6,14.5,
host,h93,121,91.18,76.37,72.48,91.18,105,10999.08,10.8,
host,h94,122,92.41,82.09,78.06,92.41,105,10232.67,10.8,
host,h95,123,43.86,85.58,82.46,85.58,105,9815.38,8.6,
host,h96,124,44.83,79.98,76.28,79.98,105,10502.63,9.3,
router,r29,125,307.87,367.07,349.24,367.07,751,16367.45,16.3,
host,h97,126,92.05,86.06,82.07,92.05,105,9760.63,0.0,
host,h98,127,53.27,81.69,77.06,81.69,105,10282.78,9.8,
router,r30,128,270.76,362.92,349.96,362.92,751,16554.61,0.0,
