op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,error
host,h62,81,44.07,66.19,62.72,66.19,
router,r20,82,498.49,543.75,535.22,543.75,
host,h63,83,41.64,66.29,62.65,66.29,
host,h64,84,44.44,62.53,58.27,62.53,
host,h65,85,37.06,62.26,58.99,62.26,
host,h66,86,40.25,70.5,67.01,70.5,
host,h67,87,81.61,70.56,63.06,81.61,
host,h68,88,84.17,76.46,69.41,84.17,
host,h69,89,32.28,69.08,65.49,69.08,
host,h70,90,39.37,65.85,61.28,65.85,
host,h71,91,40.9,64.83,60.34,64.83,
host,h72,92,35.04,65.93,60.84,65.93,
router,r21,93,569.65,541.43,537.76,569.65,
host,h73,94,42.97,73.08,68.25,73.08,
host,h74,95,43.32,69.5,65.83,69.5,
router,r22,96,471.2,564.25,557.92,564.25,
host,h75,97,36.59,69.42,65.89,69.42,
host,h76,98,40.61,78.58,73.42,78.58,
router,r23,99,580.23,568.98,565.63,580.23,
host,h77,100,86.24,72.29,66.17,86.24,
host,h78,101,80.71,71.76,64.97,80.71,
router,r24,102,581.12,554.01,548.32,581.12,
host,h79,103,55.29,83.85,76.52,83.85,
host,h80,104,88.77,72.23,63.86,88.77,
host,h81,105,79.53,73.97,68.2,79.53,
host,h82,106,88.74,73.02,67.37,88.74,
host,h83,107,86.82,73.13,64.85,86.82,
host,h84,108,37.2,67.44,63.34,67.44,
router,r25,109,630.36,568.41,561.87,630.36,
host,h85,110,66.37,73.0,66.05,73.0,
host,h86,111,39.26,69.95,66.3,69.95,
router,r26,112,548.84,577.0,573.19,577.0,
host,h87,113,37.97,71.62,68.36,71.62,
host,h88,114,38.07,81.92,77.69,81.92,
host,h89,115,38.69,76.2,72.9,76.2,
host,h90,116,80.35,79.09,71.86,80.35,
router,r27,117,677.17,568.53,562.56,677.17,
host,h91,118,40.08,76.91,73.32,76.91,
host,h92,119,81.23,77.96,72.57,81.23,
router,r28,120,604.72,597.68,584.86,604.72,
host,h93,121,95.82,81.03,75.52,95.82,
host,h94,122,87.29,77.94,70.17,87.29,
host,h95,123,93.27,76.91,71.16,93.27,
host,h96,124,67.53,74.56,69.21,74.56,
router,r29,125,573.74,562.5,559.28,573.74,
host,h97,126,47.27,86.9,81.71,86.9,
host,h98,127,40.91,79.78,74.84,79.78,
router,r30,128,496.65,615.33,606.32,615.33,
