op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,error
host,h6,8,31.07,56.75,52.12,56.75,
router,r3,9,405.03,437.44,432.94,437.44,
host,h7,10,75.4,55.44,49.24,75.4,
host,h8,11,72.44,64.71,56.19,72.44,
router,r4,12,485.13,434.01,427.98,485.13,
host,h9,13,75.92,56.83,49.7,75.92,
host,h10,14,30.35,55.63,51.08,55.63,
host,h11,15,47.38,57.72,52.93,57.72,
host,h12,16,65.91,57.9,51.08,65.91,
router,r5,17,509.95,454.11,450.42,509.95,
host,h13,18,75.75,60.83,55.12,75.75,
host,h14,19,71.25,57.43,51.53,71.25,
router,r6,20,541.13,450.6,444.43,541.13,
host,h15,21,56.26,55.93,49.5,56.26,
host,h16,22,70.75,62.93,54.62,70.75,
router,r7,23,497.75,446.26,439.33,497.75,
host,h17,24,37.32,56.12,52.73,56.12,
host,h18,25,26.16,57.76,53.92,57.76,
router,r8,26,405.21,470.08,465.24,470.08,
host,h19,27,64.28,65.02,60.14,65.02,
host,h20,28,43.33,59.71,56.17,59.71,
host,h21,29,27.77,65.44,61.12,65.44,
host,h22,30,29.08,60.26,56.46,60.26,
host,h23,31,37.2,59.83,56.12,59.83,
host,h24,32,36.76,58.83,54.19,58.83,
host,h25,33,33.18,59.14,54.26,59.14,
host,h26,34,33.88,58.42,54.29,58.42,
host,h27,35,35.31,56.53,52.28,56.53,
host,h28,36,29.19,58.6,55.38,58.6,
host,h29,37,25.94,63.16,59.62,63.16,
host,h30,38,29.85,57.71,54.17,57.71,
host,h31,39,29.0,57.63,53.99,57.63,
router,r9,40,415.11,454.96,449.98,454.96,
host,h32,41,44.4,69.51,66.06,69.51,
host,h33,42,37.16,58.92,55.36,58.92,
router,r10,43,496.5,466.05,458.51,496.5,
host,h34,44,75.17,64.29,58.57,75.17,
host,h35,45,73.51,74.65,67.39,74.65,
router,r11,46,499.94,496.33,492.58,499.94,
host,h36,47,37.07,58.8,54.4,58.8,
host,h37,48,25.48,72.01,65.39,72.01,
router,r12,49,454.86,475.53,467.54,475.53,
host,h38,50,71.48,72.35,65.52,72.35,
host,h39,51,43.29,66.48,62.96,66.48,
host,h40,52,76.82,71.42,65.3,76.82,
host,h41,53,73.38,65.96,60.05,73.38,
host,h42,54,34.49,59.07,55.02,59.07,
host,h43,55,76.82,67.22,60.02,76.82,
host,h44,56,26.35,63.14,59.33,63.14,
host,h45,57,70.39,69.98,62.06,70.39,
host,h46,58,32.36,78.23,73.98,78.23,
host,h47,59,29.18,62.62,58.78,62.62,
host,h48,60,78.12,69.99,64.35,78.12,
router,r13,61,541.62,489.6,484.93,541.62,
host,h49,62,79.77,74.27,66.94,79.77,
host,h50,63,67.09,76.79,67.73,76.79,
router,r14,64,552.74,489.38,484.84,552.74,
host,h51,65,79.76,67.45,60.26,79.76,
host,h52,66,76.94,65.26,59.67,76.94,
router,r15,67,567.13,507.03,501.12,567.13,
host,h53,68,83.16,77.85,72.71,83.16,
host,h54,69,37.72,63.04,59.22,63.04,
router,r16,70,589.56,486.32,480.54,589.56,
host,h55,71,71.29,72.06,64.31,72.06,
host,h56,72,35.55,63.66,60.35,63.66,
router,r17,73,540.98,528.23,524.53,540.98,
host,h57,74,57.34,74.92,70.07,74.92,
host,h58,75,37.17,65.99,62.32,65.99,
router,r18,76,564.94,528.29,522.08,564.94,
host,h59,77,34.2,66.11,61.51,66.11,
host,h60,78,73.26,67.45,60.27,73.26,
router,r19,79,502.32,527.49,523.93,527.49,
host,h61,80,38.72,74.14,68.98,74.14,
