op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h31,39,31.08,58.66,54.9,58.66,101,214893.62,7.4,
router,r9,40,118.52,99.53,95.92,118.52,861,1908033.24,9.3,
host,h32,41,74.71,57.78,52.24,74.71,101,145848.38,11.2,
host,h33,42,25.16,54.62,50.94,54.62,101,219565.22,0.0,
router,r10,43,152.87,108.37,101.89,152.87,874,1079012.35,0.0,
host,h34,44,26.37,69.04,64.09,69.04,105,169696.97,7.3,
host,h35,45,71.39,62.02,56.55,71.39,105,153564.9,10.0,
router,r11,46,104.13,110.92,107.45,110.92,1530,3527377.52,0.0,
host,h36,47,22.69,53.69,50.4,53.69,105,255319.15,9.5,
host,h37,48,27.15,56.21,52.78,56.21,105,244897.96,9.2,
router,r12,49,140.45,117.76,113.15,140.45,1535,2663774.4,100.0,
host,h38,50,70.96,67.74,62.55,70.96,105,161849.71,9.7,
host,h39,51,31.35,62.4,58.37,62.4,105,208436.72,9.1,
host,h40,52,27.48,58.59,55.34,58.59,101,248615.38,0.0,
host,h41,53,24.83,60.73,57.54,60.73,101,253291.54,9.0,
host,h42,54,26.1,57.14,53.84,57.14,101,244848.48,8.5,
host,h43,55,28.7,59.88,56.02,59.88,101,209326.42,8.9,
host,h44,56,69.44,65.2,58.09,69.44,101,113642.76,0.0,
host,h45,57,73.6,65.36,59.93,73.6,101,148802.95,9.6,
host,h46,58,66.73,67.83,62.93,67.83,105,171428.57,11.0,
host,h47,59,71.5,68.66,62.62,71.5,105,139072.85,10.3,
host,h48,60,31.59,59.84,56.1,59.84,105,224598.93,9.4,
router,r13,61,105.0,107.21,101.76,107.21,741,1087706.42,8.0,
host,h49,62,29.16,66.53,63.23,66.53,105,254545.45,9.6,
host,h50,63,28.88,64.34,60.41,64.34,105,213740.46,9.8,
router,r14,64,150.01,111.76,100.31,150.01,750,524017.47,8.4,
host,h51,65,34.37,58.52,54.67,58.52,105,218181.82,9.8,
host,h52,66,25.45,64.51,59.73,64.51,105,175732.22,9.6,
router,r15,67,134.99,101.52,97.97,134.99,887,1998873.24,17.0,
host,h53,68,77.91,70.55,65.35,77.91,105,161538.46,10.8,
host,h54,69,47.18,70.42,65.52,70.42,105,171428.57,9.8,
router,r16,70,165.9,112.4,105.78,165.9,887,1071903.32,0.0,
host,h55,71,51.49,63.0,59.18,63.0,105,219895.29,0.0,
host,h56,72,31.86,69.87,65.95,69.87,105,214285.71,12.0,
router,r17,73,104.69,110.46,106.54,110.46,750,1530612.24,10.3,
host,h57,74,78.33,72.99,67.34,78.33,105,148672.57,0.0,
host,h58,75,78.94,64.11,58.23,78.94,105,142857.14,0.0,
router,r18,76,184.01,120.63,114.89,184.01,751,1046689.9,10.0,
host,h59,77,83.16,72.6,67.06,83.16,105,151624.55,0.0,
host,h60,78,70.03,72.5,67.89,72.5,105,182212.58,10.4,
router,r19,79,187.75,122.89,115.9,187.75,1421,1626323.32,7.9,
host,h61,80,41.67,74.42,71.03,74.42,105,247787.61,9.3,
host,h62,81,38.28,75.52,71.62,75.52,105,215384.62,9.9,
router,r20,82,119.58,123.91,119.6,123.91,1422,2639443.16,9.5,
host,h63,83,74.72,81.68,76.01,81.68,105,148148.15,9.8,
host,h64,84,39.95,69.9,66.5,69.9,105,247058.82,10.5,
host,h65,85,38.42,66.53,62.99,66.53,105,237288.14,0.0,
host,h66,86,76.03,70.46,63.71,76.03,105,124444.44,9.6,
host,h67,87,72.5,81.07,76.42,81.07,105,180645.16,9.5,
host,h68,88,84.31,77.36,71.02,84.31,105,132492.11,10.1,
host,h69,89,39.83,66.92,62.26,66.92,105,180257.51,8.5,
host,h70,90,79.16,63.91,58.37,79.16,105,151624.55,9.8,
host,h71,91,83.85,68.62,63.0,83.85,105,149466.19,0.0,
host,h72,92,39.83,67.37,63.63,67.37,105,224598.93,9.8,
router,r21,93,112.19,114.14,109.66,114.14,751,1341071.43,9.7,
host,h73,94,40.26,68.51,64.31,68.51,105,200000.0,10.0,
host,h74,95,46.32,64.92,60.71,64.92,105,199524.94,10.3,
router,r22,96,167.83,122.29,116.68,167.83,751,1070944.74,0.0,
host,h75,97,82.66,72.74,67.08,82.66,105,148409.89,14.7,
host,h76,98,49.19,70.35,65.69,70.35,105,180257.51,11.5,
router,r23,99,99.11,120.74,117.39,120.74,889,2122985.07,0.0,
host,h77,100,36.06,71.73,67.4,71.73,105,193995.38,13.7,
host,h78,101,31.71,68.58,65.42,68.58,105,265822.78,10.7,
router,r24,102,155.05,124.86,118.97,155.05,889,1207470.29,11.0,
host,h79,103,86.74,78.32,72.4,86.74,105,141891.89,0.0,
host,h80,104,43.95,79.09,74.12,79.09,105,169014.08,11.3,
host,h81,105,49.94,68.38,64.36,68.38,105,208955.22,0.0,
host,h82,106,47.79,69.46,65.93,69.46,105,237960.34,12.5,
host,h83,107,49.56,64.47,60.38,64.47,105,205378.97,12.1,
host,h84,108,82.3,76.1,70.4,82.3,105,147368.42,12.0,
router,r25,109,120.06,132.43,128.61,132.43,1284,2689005.24,11.0,
host,h85,110,83.28,75.89,70.36,83.28,105,151898.73,0.0,
host,h86,111,60.15,75.26,71.26,75.26,105,210000.0,12.1,
router,r26,112,119.13,128.62,124.94,128.62,1284,2791304.35,11.9,
host,h87,113,60.9,75.23,70.58,75.23,105,180645.16,12.2,
host,h88,114,36.6,71.01,67.44,71.01,105,235294.12,8.0,
host,h89,115,34.38,74.81,70.24,74.81,105,183807.44,5.7,
host,h90,116,38.78,72.76,69.27,72.76,105,240687.68,9.4,
router,r27,117,104.13,126.8,122.56,126.8,889,1677358.49,5.0,
host,h91,118,85.1,73.45,68.03,85.1,105,154981.55,9.4,
host,h92,119,38.14,77.23,73.7,77.23,105,237960.34,0.0,
router,r28,120,96.21,127.8,124.19,127.8,889,1970083.1,0.0,
host,h93,121,37.99,79.25,75.7,79.25,105,236619.72,6.3,
host,h94,122,39.52,78.74,75.06,78.74,105,228260.87,5.4,
host,h95,123,40.93,80.56,76.4,80.56,105,201923.08,0.0,
host,h96,124,37.5,79.55,75.86,79.55,105,227642.28,4.2,
router,r29,125,100.44,125.67,120.87,125.67,751,1251666.67,4.8,
host,h97,126,43.11,71.16,67.48,71.16,105,228260.87,8.7,
host,h98,127,43.68,78.86,75.34,78.86,105,238636.36,7.9,
router,r30,128,97.13,138.47,131.95,138.47,751,921472.39,0.0,
