op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h6,8,30.83,56.0,49.68,56.0,100,126582.28,0.0,
router,r3,9,189.56,92.71,85.71,189.56,754,861714.29,7.2,
host,h7,10,74.07,59.06,51.64,74.07,100,107816.71,0.0,
host,h8,11,34.56,61.4,56.45,61.4,100,161616.16,0.0,
router,r4,12,166.95,102.4,94.83,166.95,754,796829.59,9.8,
host,h9,13,74.2,48.65,43.37,74.2,100,151515.15,7.9,
host,h10,14,84.9,65.11,57.76,84.9,101,109931.97,11.8,
host,h11,15,70.11,56.8,51.07,70.11,101,141012.22,10.1,
host,h12,16,73.72,62.79,56.26,73.72,101,123736.6,0.0,
router,r5,17,228.54,114.53,107.01,228.54,1401,1490425.53,9.4,
host,h13,18,50.3,64.51,58.84,64.51,101,142504.41,10.6,
host,h14,19,40.8,59.52,54.79,59.52,101,170824.52,10.5,
router,r6,20,145.18,111.84,105.79,145.18,1401,1852561.98,0.0,
host,h15,21,46.56,50.63,46.99,50.63,101,221978.02,0.0,
host,h16,22,29.72,59.03,54.38,59.03,101,173763.44,8.7,
router,r7,23,98.38,100.13,96.69,100.13,861,2002325.58,11.9,
host,h17,24,72.39,62.03,55.94,72.39,101,132676.52,10.9,
host,h18,25,72.67,60.17,54.59,72.67,101,144802.87,12.6,
router,r8,26,224.05,100.36,94.77,224.05,861,1232200.36,0.0,
host,h19,27,29.59,61.92,57.41,61.92,101,179157.43,11.2,
host,h20,28,34.31,64.23,60.34,64.23,101,207712.08,11.9,
host,h21,29,33.44,61.04,57.41,61.04,101,222589.53,0.0,
host,h22,30,65.16,60.54,52.66,65.16,101,102538.07,10.7,
host,h23,31,51.01,55.91,50.67,55.91,101,154198.47,11.6,
host,h24,32,24.77,52.25,48.85,52.25,101,237647.06,12.0,
host,h25,33,46.89,54.37,48.67,54.37,101,141754.39,12.0,
host,h26,34,29.07,61.19,57.74,61.19,101,234202.9,7.0,
host,h27,35,44.81,58.39,53.89,58.39,101,179555.56,11.5,
host,h28,36,26.28,57.88,54.01,57.88,101,208785.53,7.0,
host,h29,37,30.64,56.02,52.53,56.02,101,231518.62,6.7,
host,h30,38,31.68,58.4,54.05,58.4,101,185747.13,6.4,
