op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h6,8,25.88,58.55,53.41,58.55,100,13663.54,7.2,
router,r3,9,118.94,118.83,114.31,118.94,754,50761.59,0.0,
host,h7,10,71.09,71.66,59.95,71.66,100,11163.83,100.0,
host,h8,11,71.48,74.05,62.64,74.05,100,10803.51,9.3,
router,r4,12,120.76,129.27,123.18,129.27,754,46662.03,9.7,
host,h9,13,72.71,65.15,56.46,72.71,100,12279.36,7.8,
host,h10,14,77.33,66.98,55.35,77.33,101,12063.3,0.0,
host,h11,15,73.15,63.93,54.1,73.15,101,12638.82,8.1,
host,h12,16,69.34,65.57,55.69,69.34,101,12322.71,0.0,
router,r5,17,219.17,151.47,143.92,219.17,1401,73994.85,8.6,
host,h13,18,39.23,64.3,58.96,64.3,101,12566.1,7.6,
host,h14,19,69.11,68.1,54.86,69.11,101,11864.9,7.7,
router,r6,20,191.31,150.02,141.51,191.31,1401,74710.04,9.4,
host,h15,21,66.81,64.94,51.11,66.81,101,12442.25,0.0,
host,h16,22,78.31,57.79,52.4,78.31,101,13981.66,7.2,
router,r7,23,124.07,137.8,132.95,137.8,861,49985.49,0.0,
host,h17,24,75.0,67.88,58.12,75.0,101,11903.36,6.8,
host,h18,25,77.04,69.39,55.38,77.04,101,11644.33,7.7,
router,r8,26,135.97,143.57,131.45,143.57,861,47976.6,8.0,
host,h19,27,60.89,68.33,62.25,68.33,101,11824.97,7.2,
host,h20,28,73.01,69.25,58.48,73.01,101,11667.87,7.4,
host,h21,29,87.87,67.19,57.63,87.87,101,12025.6,9.3,
host,h22,30,75.09,63.68,52.81,75.09,101,12688.44,9.2,
host,h23,31,55.57,59.94,52.3,59.94,101,13480.15,7.6,
host,h24,32,74.9,65.48,53.65,74.9,101,12339.65,7.8,
host,h25,33,33.0,72.64,68.34,72.64,101,11123.35,8.2,
host,h26,34,68.96,69.63,60.77,69.63,101,11604.19,9.2,
host,h27,35,71.27,62.25,53.75,71.27,101,12979.92,8.8,
host,h28,36,27.74,56.14,52.43,56.14,101,14392.59,7.9,
host,h29,37,27.48,60.61,56.61,60.61,101,13331.13,8.1,
host,h30,38,25.16,61.27,55.29,61.27,101,13187.53,7.9,
host,h31,39,39.94,76.94,70.8,76.94,101,10501.69,8.1,
router,r9,40,128.63,160.71,153.56,160.71,861,42859.81,9.5,
host,h32,41,75.46,70.09,57.69,75.46,101,11528.04,6.7,
host,h33,42,66.48,67.09,56.9,67.09,101,12043.52,7.4,
router,r10,43,243.7,148.01,142.01,243.7,874,47240.05,7.6,
host,h34,44,74.88,74.33,63.51,74.88,105,11300.96,7.6,
host,h35,45,79.56,66.5,56.93,79.56,105,12631.58,9.0,
router,r11,46,127.59,176.13,167.18,176.13,1530,69494.12,7.2,
host,h36,47,75.12,77.18,67.13,77.18,105,10883.65,7.3,
host,h37,48,84.46,71.36,60.33,84.46,105,11771.3,8.1,
router,r12,49,198.87,163.94,154.6,198.87,1535,74905.45,9.1,
host,h38,50,73.09,65.43,57.33,73.09,105,12838.15,7.3,
host,h39,51,36.99,65.87,61.71,65.87,105,12752.39,6.8,
host,h40,52,33.97,69.67,63.99,69.67,101,11597.53,7.3,
host,h41,53,64.85,74.41,63.07,74.41,101,10858.76,7.5,
host,h42,54,59.46,66.82,59.5,66.82,101,12092.19,7.3,
host,h43,55,77.16,71.8,63.65,77.16,101,11253.48,9.2,
host,h44,56,77.04,71.85,62.44,77.04,101,11245.65,9.3,
host,h45,57,79.3,77.39,61.9,79.3,101,10440.63,9.8,
host,h46,58,35.09,64.6,59.5,64.6,105,13003.1,8.6,
host,h47,59,78.42,82.3,71.0,82.3,105,10206.56,9.0,
host,h48,60,74.17,67.47,58.94,74.17,105,12449.98,9.6,
router,r13,61,126.41,167.57,162.55,167.57,741,35376.26,9.2,
host,h49,62,70.19,76.0,64.3,76.0,105,11052.63,7.1,
host,h50,63,40.0,66.87,61.53,66.87,105,12561.69,8.3,
router,r14,64,134.59,163.92,160.14,163.92,750,36603.22,7.8,
host,h51,65,67.98,70.44,61.32,70.44,105,11925.04,0.0,
host,h52,66,76.14,82.26,74.02,82.26,105,10211.52,7.4,
router,r15,67,134.39,167.4,162.82,167.4,887,42389.49,7.7,
host,h53,68,36.72,70.11,65.25,70.11,105,11981.17,8.2,
host,h54,69,40.06,74.52,68.17,74.52,105,11272.14,8.1,
router,r16,70,144.93,166.5,159.87,166.5,887,42618.62,8.6,
host,h55,71,84.56,68.74,62.3,84.56,105,12219.96,10.4,
host,h56,72,75.26,71.55,62.47,75.26,105,11740.04,8.5,
router,r17,73,158.32,176.38,171.34,176.38,750,34017.46,10.0,
host,h57,74,37.12,70.29,66.22,70.29,105,11950.49,8.0,
host,h58,75,33.66,70.42,66.26,70.42,105,11928.43,9.4,
router,r18,76,210.04,186.9,176.33,210.04,751,32145.53,8.1,
host,h59,77,74.17,66.95,61.94,74.17,105,12546.68,8.1,
host,h60,78,77.15,78.47,67.61,78.47,105,10704.73,8.7,
router,r19,79,161.82,198.92,192.75,198.92,1421,57148.6,0.0,
host,h61,80,89.65,78.17,65.86,89.65,105,10745.81,8.5,
host,h62,81,57.58,74.8,69.31,74.8,105,11229.95,8.3,
router,r20,82,225.49,206.9,197.59,225.49,1422,54983.08,8.5,
host,h63,83,85.34,82.07,68.66,85.34,105,10235.17,7.4,
host,h64,84,81.3,78.77,66.59,81.3,105,10663.96,0.0,
host,h65,85,75.64,68.26,61.65,75.64,105,12305.89,9.1,
host,h66,86,68.07,76.32,66.02,76.32,105,11006.29,10.7,
host,h67,87,74.33,81.54,73.26,81.54,105,10301.69,10.0,
host,h68,88,40.67,65.39,59.69,65.39,105,12846.0,8.3,
host,h69,89,72.06,79.07,71.93,79.07,105,10623.5,9.1,
host,h70,90,64.38,65.9,60.32,65.9,105,12746.59,8.6,
host,h71,91,43.88,80.2,75.91,80.2,105,10473.82,8.3,
host,h72,92,33.73,70.28,67.01,70.28,105,11952.19,10.0,
router,r21,93,181.48,192.76,188.3,192.76,751,31168.29,12.5,
host,h73,94,38.78,67.99,63.85,67.99,105,12354.76,8.7,
host,h74,95,43.01,78.84,71.02,78.84,105,10654.49,8.2,
router,r22,96,149.68,209.94,203.08,209.94,751,28617.7,9.5,
host,h75,97,67.45,76.93,69.06,76.93,105,10919.02,0.0,
host,h76,98,58.89,67.76,63.39,67.76,105,12396.69,8.5,
router,r23,99,206.67,203.58,197.25,206.67,889,34934.67,9.2,
host,h77,100,90.91,80.92,70.31,90.91,105,10380.62,10.2,
host,h78,101,69.85,78.31,68.04,78.31,105,10726.6,9.0,
router,r24,102,243.25,216.59,202.75,243.25,889,32836.23,9.5,
host,h79,103,87.5,94.92,75.55,94.92,105,8849.56,9.1,
host,h80,104,40.51,74.01,70.42,74.01,105,11349.82,9.1,
host,h81,105,83.72,82.74,75.57,83.72,105,10152.28,0.0,
host,h82,106,79.63,82.02,70.96,82.02,105,10241.4,9.3,
host,h83,107,84.04,78.37,70.93,84.04,105,10718.39,8.5,
host,h84,108,37.15,79.61,75.72,79.61,105,10551.44,9.3,
router,r25,109,166.33,216.67,211.45,216.67,1284,47408.5,9.0,
host,h85,110,91.38,81.29,67.8,91.38,105,10333.37,9.6,
host,h86,111,87.43,74.58,65.38,87.43,105,11263.07,9.4,
router,r26,112,167.7,215.86,210.43,215.86,1284,47586.4,9.9,
host,h87,113,95.91,91.42,79.11,95.91,105,9188.36,0.0,
host,h88,114,46.23,74.68,70.62,74.68,105,11247.99,7.9,
host,h89,115,87.3,78.91,70.23,87.3,105,10645.04,8.3,
host,h90,116,53.82,72.98,69.55,72.98,105,11510.0,9.2,
router,r27,117,159.95,221.57,215.87,221.57,889,32098.21,8.0,
host,h91,118,48.91,90.13,86.62,90.13,105,9319.87,7.7,
host,h92,119,51.93,79.6,74.6,79.6,105,10552.76,8.7,
router,r28,120,163.45,219.74,214.45,219.74,889,32365.52,12.0,
host,h93,121,42.3,83.24,76.2,83.24,105,10091.3,9.4,
host,h94,122,56.87,79.85,74.65,79.85,105,10519.72,9.6,
host,h95,123,64.55,90.88,84.49,90.88,105,9242.96,11.1,
host,h96,124,60.63,83.1,76.36,83.1,105,10108.3,11.2,
router,r29,125,242.73,247.21,232.73,247.21,751,24303.22,12.0,
host,h97,126,43.98,85.18,80.2,85.18,105,9861.47,9.1,
host,h98,127,71.96,107.88,76.89,107.88,105,7786.43,9.2,
router,r30,128,214.5,222.97,216.38,222.97,751,26945.33,8.1,
