op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h6,8,26.46,66.92,62.53,66.92,100,11954.57,0.0,
router,r3,9,123.03,135.83,129.07,135.83,754,44408.45,10.4,
host,h7,10,59.6,67.87,61.32,67.87,100,11787.24,0.0,
host,h8,11,72.13,63.98,54.6,72.13,100,12503.91,9.8,
router,r4,12,117.12,139.29,133.1,139.29,754,43305.33,0.0,
host,h9,13,66.19,69.6,61.0,69.6,100,11494.25,0.0,
host,h10,14,73.44,68.3,57.72,73.44,101,11830.16,9.4,
host,h11,15,71.65,61.71,54.62,71.65,101,13093.5,9.9,
host,h12,16,72.39,65.35,60.06,72.39,101,12364.19,9.7,
router,r5,17,112.57,146.58,141.78,146.58,1401,76463.36,0.0,
host,h13,18,71.02,63.58,58.06,71.02,101,12708.4,8.6,
host,h14,19,32.03,57.49,53.97,57.49,101,14054.62,8.6,
router,r6,20,167.99,139.44,133.09,167.99,1401,80378.66,7.9,
host,h15,21,68.02,69.35,62.61,69.35,101,11651.05,8.6,
host,h16,22,74.66,63.53,55.92,74.66,101,12718.4,8.9,
router,r7,23,115.9,128.41,124.4,128.41,861,53640.68,9.0,
host,h17,24,76.43,72.23,65.54,76.43,101,11186.49,9.2,
host,h18,25,77.57,56.37,47.6,77.57,101,14333.87,10.6,
router,r8,26,167.7,143.61,135.22,167.7,861,47963.23,9.4,
host,h19,27,78.37,68.68,60.71,78.37,101,11764.71,9.2,
host,h20,28,43.07,63.44,58.66,63.44,101,12736.44,9.3,
host,h21,29,56.89,66.3,57.34,66.3,101,12187.03,10.1,
host,h22,30,34.12,66.84,62.65,66.84,101,12088.57,9.4,
host,h23,31,71.84,65.4,57.81,71.84,101,12354.74,9.1,
host,h24,32,60.15,61.91,55.44,61.91,101,13051.2,9.2,
host,h25,33,51.58,65.47,58.92,65.47,101,12341.53,9.3,
host,h26,34,28.95,60.27,56.03,60.27,101,13406.34,9.8,
host,h27,35,57.89,62.48,56.06,62.48,101,12932.14,9.3,
host,h28,36,31.02,63.21,59.94,63.21,101,12782.79,9.8,
host,h29,37,74.23,67.78,61.0,74.23,101,11920.92,10.1,
host,h30,38,69.01,67.26,56.13,69.01,101,12013.08,10.8,
host,h31,39,74.23,77.15,67.81,77.15,101,10473.1,12.3,
router,r9,40,180.4,149.78,138.96,180.4,861,45987.45,11.7,
host,h32,41,79.92,80.78,71.23,80.78,101,10002.48,10.6,
host,h33,42,44.91,105.07,99.77,105.07,101,7690.11,9.6,
router,r10,43,149.25,151.2,147.56,151.2,874,46243.39,0.0,
host,h34,44,80.98,70.78,60.78,80.98,105,11867.76,0.0,
host,h35,45,69.34,71.3,58.37,71.3,105,11781.21,10.7,
router,r11,46,211.63,189.43,174.07,211.63,1530,64614.9,11.1,
host,h36,47,75.2,84.11,73.69,84.11,105,9986.92,10.5,
host,h37,48,80.74,72.67,64.82,80.74,105,11559.1,9.6,
router,r12,49,153.47,181.04,167.95,181.04,1535,67830.31,0.0,
host,h38,50,37.42,65.42,61.86,65.42,105,12840.11,0.0,
host,h39,51,77.58,78.68,68.13,78.68,105,10676.16,10.3,
host,h40,52,55.39,63.55,57.87,63.55,101,12714.4,10.3,
host,h41,53,74.13,91.54,80.7,91.54,101,8826.74,10.4,
host,h42,54,37.97,73.17,68.94,73.17,101,11042.78,9.8,
host,h43,55,41.43,73.5,67.34,73.5,101,10993.2,9.3,
host,h44,56,43.61,63.12,58.93,63.12,101,12801.01,9.9,
host,h45,57,39.37,70.74,67.43,70.74,101,11422.11,10.3,
host,h46,58,36.48,80.39,76.22,80.39,105,10449.06,10.2,
host,h47,59,71.41,76.17,66.34,76.17,105,11027.96,0.0,
host,h48,60,71.51,66.69,60.31,71.51,105,12595.59,11.1,
router,r13,61,194.72,186.28,174.49,194.72,741,31823.06,11.0,
host,h49,62,44.23,75.82,71.63,75.82,105,11078.87,9.8,
host,h50,63,40.06,66.16,62.69,66.16,105,12696.49,9.5,
router,r14,64,184.38,175.03,160.91,184.38,750,34279.84,8.7,
host,h51,65,79.84,74.74,65.29,79.84,105,11238.96,8.9,
host,h52,66,81.41,65.96,59.02,81.41,105,12734.99,9.4,
router,r15,67,152.7,195.17,190.2,195.17,887,36358.05,9.4,
host,h53,68,78.22,76.29,67.91,78.22,105,11010.62,10.5,
host,h54,69,76.33,70.45,62.29,76.33,105,11923.35,0.0,
router,r16,70,137.3,170.84,166.27,170.84,887,41535.94,11.2,
host,h55,71,50.0,72.7,67.19,72.7,105,11554.33,10.1,
host,h56,72,35.68,68.34,62.91,68.34,105,12291.48,10.2,
router,r17,73,148.84,182.71,176.94,182.71,750,32838.93,9.9,
host,h57,74,83.45,68.79,64.01,83.45,105,12211.08,9.5,
host,h58,75,56.52,75.03,67.93,75.03,105,11195.52,9.5,
router,r18,76,165.12,193.26,181.68,193.26,751,31087.65,0.0,
host,h59,77,45.04,77.01,73.5,77.01,105,10907.67,0.0,
host,h60,78,86.44,73.81,64.79,86.44,105,11380.57,10.9,
router,r19,79,136.94,201.16,195.39,201.16,1421,56512.23,9.7,
host,h61,80,43.06,74.32,70.81,74.32,105,11302.48,9.0,
host,h62,81,82.84,82.61,72.64,82.84,105,10168.26,9.3,
router,r20,82,160.14,213.47,209.6,213.47,1422,53290.86,9.7,
host,h63,83,70.92,74.72,67.71,74.72,105,11241.97,0.0,
host,h64,84,46.09,71.13,66.76,71.13,105,11809.36,9.8,
host,h65,85,65.29,70.27,66.26,70.27,105,11953.89,11.0,
host,h66,86,80.94,86.95,74.54,86.95,105,9660.72,11.6,
host,h67,87,75.09,74.62,69.62,75.09,105,11257.04,13.3,
host,h68,88,45.79,66.66,60.78,66.66,105,12601.26,10.0,
host,h69,89,70.18,75.52,66.74,75.52,105,11122.88,10.8,
host,h70,90,75.47,72.55,67.12,75.47,105,11578.22,11.5,
host,h71,91,83.3,70.62,64.48,83.3,105,11894.65,11.7,
host,h72,92,37.52,69.47,65.64,69.47,105,12091.55,11.8,
router,r21,93,156.45,192.99,187.36,192.99,751,31131.15,10.1,
host,h73,94,66.83,75.7,70.88,75.7,105,11096.43,9.6,
host,h74,95,58.15,83.76,75.56,83.76,105,10028.65,11.2,
router,r22,96,157.05,202.8,199.4,202.8,751,29625.25,12.1,
host,h75,97,90.11,80.48,73.88,90.11,105,10437.38,8.9,
host,h76,98,72.81,76.65,69.1,76.65,105,10958.9,9.9,
router,r23,99,158.9,219.99,215.66,219.99,889,32328.74,11.1,
host,h77,100,89.69,78.24,70.79,89.69,105,10736.2,9.1,
host,h78,101,87.7,78.07,69.64,87.7,105,10759.57,10.7,
router,r24,102,172.88,207.19,197.12,207.19,889,34325.98,11.7,
host,h79,103,52.23,77.28,73.97,77.28,105,10869.57,8.9,
host,h80,104,48.97,74.85,70.18,74.85,105,11222.44,9.6,
host,h81,105,50.86,73.81,70.59,73.81,105,11380.57,9.9,
host,h82,106,84.94,82.21,73.48,84.94,105,10217.74,9.9,
host,h83,107,78.84,76.07,68.41,78.84,105,11042.46,9.8,
host,h84,108,90.83,85.27,75.82,90.83,105,9851.06,10.8,
router,r25,109,188.61,237.17,232.88,237.17,1284,43310.71,9.9,
host,h85,110,69.62,84.67,75.99,84.67,105,9920.87,9.0,
host,h86,111,95.1,79.42,68.31,95.1,105,10576.68,9.9,
router,r26,112,177.31,214.01,207.89,214.01,1284,47997.76,10.1,
host,h87,113,52.49,82.75,79.24,82.75,105,10151.06,9.5,
host,h88,114,49.02,77.9,73.34,77.9,105,10783.06,9.7,
host,h89,115,93.33,81.68,75.21,93.33,105,10284.04,9.2,
host,h90,116,45.64,78.71,74.57,78.71,105,10672.09,9.6,
router,r27,117,175.13,206.45,202.58,206.45,889,34449.02,11.1,
host,h91,118,52.96,83.16,78.93,83.16,105,10101.01,10.3,
host,h92,119,42.7,85.73,80.98,85.73,105,9798.2,10.2,
router,r28,120,177.71,232.65,221.13,232.65,889,30569.53,10.1,
host,h93,121,55.67,80.27,76.88,80.27,105,10464.68,9.5,
host,h94,122,85.06,88.31,81.54,88.31,105,9511.95,10.8,
host,h95,123,58.95,83.41,78.67,83.41,105,10070.73,10.0,
host,h96,124,45.13,78.46,74.75,78.46,105,10706.09,10.8,
router,r29,125,183.62,218.96,215.66,218.96,751,27438.8,11.1,
host,h97,126,68.66,88.3,80.28,88.3,105,9513.02,0.0,
host,h98,127,69.5,87.72,81.79,87.72,105,9575.92,10.4,
router,r30,128,176.96,243.42,239.46,243.42,751,24681.62,14.9,
