op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h65,85,50.05,68.65,63.3,68.65,105,12235.98,9.3,
host,h66,86,47.3,65.96,58.91,65.96,105,12734.99,9.3,
host,h67,87,30.95,62.31,57.72,62.31,105,13480.98,9.0,
host,h68,88,76.94,66.77,60.67,76.94,105,12580.5,11.2,
host,h69,89,38.52,75.91,66.38,75.91,105,11065.74,9.9,
host,h70,90,70.6,73.83,64.51,73.83,105,11377.49,9.0,
host,h71,91,88.13,78.63,70.45,88.13,105,10682.95,10.2,
host,h72,92,36.23,78.37,71.68,78.37,105,10718.39,9.7,
router,r21,93,289.24,330.89,305.66,330.89,751,18157.09,13.0,
host,h73,94,89.38,85.05,69.45,89.38,105,9876.54,9.7,
host,h74,95,71.94,68.19,60.08,71.94,105,12318.52,9.6,
router,r22,96,303.28,349.27,325.27,349.27,751,17201.59,10.6,
host,h75,97,91.19,75.73,70.34,91.19,105,11092.04,10.0,
host,h76,98,84.83,67.4,59.3,84.83,105,12462.91,9.3,
router,r23,99,360.07,353.18,330.35,360.07,889,20137.04,11.1,
host,h77,100,67.1,78.3,68.23,78.3,105,10727.97,10.3,
host,h78,101,79.12,87.98,75.99,87.98,105,9547.62,10.1,
router,r24,102,242.23,350.36,325.04,350.36,889,20299.12,17.2,
host,h79,103,76.51,73.35,64.81,76.51,105,11451.94,0.0,
host,h80,104,69.7,70.18,64.29,70.18,105,11969.22,9.2,
host,h81,105,83.57,77.47,70.29,83.57,105,10842.91,9.2,
host,h82,106,86.83,77.31,71.15,86.83,105,10865.35,10.8,
host,h83,107,45.44,85.63,76.2,85.63,105,9809.65,9.5,
host,h84,108,41.12,71.53,65.55,71.53,105,11743.32,10.3,
router,r25,109,319.28,378.5,348.14,378.5,1284,27138.71,14.4,
host,h85,110,96.78,79.52,73.85,96.78,105,10563.38,10.2,
host,h86,111,42.68,79.36,69.11,79.36,105,10584.68,9.6,
router,r26,112,313.18,394.58,370.31,394.58,1284,26032.74,18.7,
host,h87,113,88.95,81.47,73.11,88.95,105,10310.54,10.1,
host,h88,114,46.18,76.69,67.91,76.69,105,10953.19,10.0,
host,h89,115,45.07,73.56,67.35,73.56,105,11419.25,0.0,
host,h90,116,87.15,77.45,68.62,87.15,105,10845.71,11.3,
router,r27,117,286.01,364.93,344.3,364.93,889,19488.67,16.6,
host,h91,118,41.87,82.92,76.8,82.92,105,10130.25,10.2,
host,h92,119,46.82,75.22,68.39,75.22,105,11167.24,8.4,
router,r28,120,253.24,395.07,362.85,395.07,889,18001.87,18.9,
host,h93,121,75.63,84.96,75.21,84.96,105,9887.01,10.6,
host,h94,122,63.89,84.19,78.31,84.19,105,9977.43,9.7,
host,h95,123,45.41,76.87,71.83,76.87,105,10927.54,12.8,
host,h96,124,54.5,83.72,79.19,83.72,105,10033.44,10.3,
router,r29,125,310.34,353.93,328.39,353.93,751,16975.11,10.8,
host,h97,126,92.05,78.59,72.39,92.05,105,10688.38,0.0,
host,h98,127,44.78,76.58,72.19,76.58,105,10968.92,9.8,
router,r30,128,342.65,329.78,321.09,342.65,751,18218.21,14.4,
