op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h6,8,30.15,62.96,55.1,62.96,100,12706.48,0.0,
router,r3,9,228.1,256.74,249.1,256.74,754,23494.59,7.9,
host,h7,10,68.94,58.03,51.97,68.94,100,13785.97,0.0,
host,h8,11,28.49,65.65,59.15,65.65,100,12185.83,0.0,
router,r4,12,248.92,270.24,262.23,270.24,754,22320.9,11.0,
host,h9,13,29.03,57.6,51.95,57.6,100,13888.89,0.0,
host,h10,14,49.4,53.63,47.77,53.63,101,15066.19,7.7,
host,h11,15,22.21,59.89,52.94,59.89,101,13491.4,8.4,
host,h12,16,46.36,64.47,56.24,64.47,101,12532.96,8.7,
router,r5,17,257.12,281.87,272.47,281.87,1401,39763.01,9.5,
host,h13,18,40.61,58.75,51.88,58.75,101,13753.19,8.4,
host,h14,19,69.23,66.79,58.72,69.23,101,12097.62,0.0,
router,r6,20,242.55,277.53,268.32,277.53,1401,40384.82,9.8,
host,h15,21,27.9,67.02,56.65,67.02,101,12056.1,0.0,
host,h16,22,63.33,55.98,49.26,63.33,101,14433.73,12.0,
router,r7,23,283.12,263.05,248.95,283.12,861,26185.14,0.0,
host,h17,24,76.35,70.72,64.84,76.35,101,11425.34,8.3,
host,h18,25,28.37,58.62,52.32,58.62,101,13783.69,8.4,
router,r8,26,232.35,275.59,264.29,275.59,861,24993.65,10.2,
host,h19,27,54.6,65.29,57.95,65.29,101,12375.56,0.0,
host,h20,28,72.98,68.93,56.46,72.98,101,11722.04,7.9,
host,h21,29,25.19,69.88,63.04,69.88,101,11562.68,8.1,
host,h22,30,45.6,55.71,50.96,55.71,101,14503.68,8.6,
host,h23,31,28.7,54.5,48.5,54.5,101,14825.69,0.0,
host,h24,32,29.96,55.13,49.45,55.13,101,14656.27,7.3,
host,h25,33,28.16,55.51,50.72,55.51,101,14555.94,8.0,
host,h26,34,28.82,61.88,56.83,61.88,101,13057.53,7.9,
host,h27,35,71.61,60.25,53.26,71.61,101,13410.79,9.3,
host,h28,36,48.44,64.79,58.94,64.79,101,12471.06,7.9,
host,h29,37,66.95,65.67,55.73,66.95,101,12303.94,8.2,
host,h30,38,76.47,64.18,55.24,76.47,101,12589.59,8.1,
host,h31,39,30.85,53.84,47.65,53.84,101,15007.43,8.6,
router,r9,40,250.01,276.93,263.12,276.93,861,24872.71,0.0,
host,h32,41,76.3,66.21,57.98,76.3,101,12203.59,8.4,
host,h33,42,70.67,66.07,55.08,70.67,101,12229.45,0.0,
router,r10,43,235.98,289.51,268.86,289.51,874,24151.15,8.8,
host,h34,44,73.26,69.61,63.57,73.26,105,12067.23,8.6,
host,h35,45,50.16,64.74,54.22,64.74,105,12974.98,9.1,
router,r11,46,310.67,284.71,273.22,310.67,1530,42991.11,9.6,
host,h36,47,75.29,70.59,62.85,75.29,105,11899.7,9.1,
host,h37,48,57.25,63.79,56.6,63.79,105,13168.21,8.0,
router,r12,49,245.27,293.14,278.13,293.14,1535,41891.25,8.9,
host,h38,50,54.76,64.33,55.69,64.33,105,13057.67,0.0,
host,h39,51,66.65,67.23,57.63,67.23,105,12494.42,8.7,
host,h40,52,72.63,75.63,63.16,75.63,101,10683.59,8.9,
host,h41,53,75.1,60.06,52.43,75.1,101,13453.21,8.8,
host,h42,54,72.23,64.03,57.76,72.23,101,12619.08,9.3,
host,h43,55,30.02,63.15,57.46,63.15,101,12794.93,8.6,
host,h44,56,35.38,69.56,62.46,69.56,101,11615.87,8.6,
host,h45,57,54.42,66.38,60.72,66.38,101,12172.34,8.5,
host,h46,58,75.39,68.85,58.21,75.39,105,12200.44,9.2,
host,h47,59,28.99,55.61,49.99,55.61,105,15105.2,7.8,
host,h48,60,72.71,63.14,55.61,72.71,105,13303.77,10.0,
router,r13,61,242.35,294.18,278.5,294.18,741,20150.93,9.7,
host,h49,62,31.53,65.1,59.27,65.1,105,12903.23,0.0,
host,h50,63,55.3,62.99,53.47,62.99,105,13335.45,7.3,
router,r14,64,236.38,323.18,297.26,323.18,750,18565.51,14.0,
host,h51,65,80.55,74.55,63.39,80.55,105,11267.61,8.8,
host,h52,66,57.37,66.94,56.76,66.94,105,12548.55,0.0,
router,r15,67,365.13,303.64,292.99,365.13,887,23369.78,8.8,
host,h53,68,80.3,76.22,65.11,80.3,105,11020.73,8.6,
host,h54,69,77.97,59.03,52.36,77.97,105,14230.05,9.5,
router,r16,70,286.52,321.98,302.45,321.98,887,22038.64,13.1,
host,h55,71,54.02,125.52,117.04,125.52,105,6692.16,100.0,
host,h56,72,83.82,63.16,53.48,83.82,105,13299.56,9.5,
router,r17,73,247.73,326.81,311.65,326.81,750,18359.29,14.1,
host,h57,74,34.74,74.3,67.44,74.3,105,11305.52,0.0,
host,h58,75,43.07,64.17,56.5,64.17,105,13090.23,9.8,
router,r18,76,251.3,325.79,290.19,325.79,751,18441.33,14.3,
host,h59,77,81.47,76.92,65.79,81.47,105,10920.44,9.5,
host,h60,78,76.07,74.98,65.95,76.07,105,11202.99,9.2,
router,r19,79,253.93,332.47,319.35,332.47,1421,34192.56,9.2,
host,h61,80,70.4,76.34,69.43,76.34,105,11003.41,0.0,
host,h62,81,75.14,70.35,62.27,75.14,105,11940.3,9.6,
router,r20,82,259.38,348.57,326.13,348.57,1422,32636.2,15.9,
host,h63,83,55.42,75.11,67.6,75.11,105,11183.6,0.0,
host,h64,84,71.68,65.87,59.16,71.68,105,12752.39,0.0,
