op_type,op_name,routing_mode,error,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,capacity_ops_s,payload_bytes,throughput_bps,cpu_percent,system_mem_mb,frr_total_mb
host,h60,ospf,,78.0,55.98,63.61,58.98,63.61,15.74,105.0,13221.68,7.63,1661.57,419.33
router,r19,ospf,,79.0,294.18,298.88,290.26,306.54,3.26,1421.0,37099.63,7.0,1706.43,437.67
host,h61,ospf,,80.0,60.65,64.11,59.7,64.58,15.55,105.0,13063.63,8.47,1687.97,437.87
host,h62,ospf,,81.0,59.82,62.46,57.85,63.49,15.76,105.0,13234.16,7.53,1683.2,437.87
router,r20,ospf,,82.0,305.38,331.02,319.25,331.02,3.02,1422.0,34367.22,4.8,1732.2,456.3
host,h63,ospf,,83.0,61.44,65.47,60.86,65.47,15.32,105.0,12867.54,8.5,1696.53,456.5
host,h64,ospf,,84.0,57.27,65.39,60.49,65.39,15.31,105.0,12861.83,8.13,1694.87,456.5
host,h65,ospf,,85.0,58.14,65.37,60.68,65.37,15.3,105.0,12855.41,2.57,1692.83,456.5
host,h66,ospf,,86.0,57.99,66.61,61.65,66.61,15.05,105.0,12646.7,7.83,1692.33,456.7
host,h67,ospf,,87.0,56.39,64.63,59.97,64.63,15.52,105.0,13036.56,5.43,1692.23,456.8
host,h68,ospf,,88.0,57.12,67.51,62.69,67.51,14.87,105.0,12488.56,7.97,1693.13,456.8
host,h69,ospf,,89.0,57.29,63.31,58.64,63.31,15.82,105.0,13291.87,7.83,1694.17,456.8
host,h70,ospf,,90.0,56.81,67.26,62.63,67.26,14.88,105.0,12503.58,7.43,1693.8,456.8
host,h71,ospf,,91.0,58.18,64.83,60.08,64.83,15.45,105.0,12978.83,7.47,1693.47,456.8
host,h72,ospf,,92.0,60.77,64.22,59.49,65.08,15.42,105.0,12949.66,7.67,1693.87,456.8
router,r21,ospf,,93.0,304.4,318.09,303.68,319.31,3.14,751.0,18856.84,9.73,1743.93,475.23
host,h73,ospf,,94.0,62.33,68.07,63.41,68.07,14.73,105.0,12377.33,5.77,1719.6,475.43
host,h74,ospf,,95.0,59.51,66.24,61.87,66.24,15.15,105.0,12725.22,8.0,1716.7,475.43
router,r22,ospf,,96.0,296.51,318.37,306.61,318.37,3.15,751.0,18902.67,3.27,1769.2,493.6
host,h75,ospf,,97.0,61.83,68.35,63.64,68.35,14.65,105.0,12305.66,5.6,1739.9,493.8
host,h76,ospf,,98.0,56.74,65.07,60.37,65.07,15.49,105.0,13008.77,8.57,1736.4,493.8
router,r23,ospf,,99.0,316.07,306.64,296.33,321.78,3.11,889.0,22127.79,2.93,1772.87,512.3
host,h77,ospf,,100.0,64.76,66.45,61.68,66.6,15.03,105.0,12620.81,9.37,1744.27,512.53
host,h78,ospf,,101.0,58.15,67.62,63.23,67.62,14.81,105.0,12442.57,6.27,1742.93,512.53
router,r24,ospf,,102.0,305.02,307.29,297.76,309.15,3.24,889.0,23068.98,7.17,1804.23,525.8
host,h79,ospf,,103.0,64.48,69.3,64.46,69.3,14.43,105.0,12122.6,2.8,1771.47,531.23
host,h80,ospf,,104.0,60.83,73.64,69.21,73.64,13.63,105.0,11449.26,5.2,1766.67,531.23
host,h81,ospf,,105.0,60.55,74.33,69.77,74.33,13.51,105.0,11344.07,0.0,1761.7,531.23
host,h82,ospf,,106.0,61.51,75.89,71.08,75.89,13.23,105.0,11110.05,8.53,1761.3,531.4
host,h83,ospf,,107.0,62.53,68.91,64.02,68.91,14.53,105.0,12204.96,8.3,1761.47,531.57
host,h84,ospf,,108.0,61.62,71.21,66.5,71.21,14.06,105.0,11812.37,8.67,1761.27,531.57
router,r25,ospf,,109.0,331.81,351.37,335.39,351.37,2.85,1284.0,29242.45,12.33,1832.6,544.9
host,h85,ospf,,110.0,65.44,69.97,65.38,69.97,14.34,105.0,12041.77,8.83,1785.8,550.23
host,h86,ospf,,111.0,65.46,72.8,67.91,72.8,13.77,105.0,11566.87,9.43,1783.27,550.23
router,r26,ospf,,112.0,340.03,368.4,353.47,368.89,2.72,1284.0,27961.44,5.2,1831.97,568.73
host,h87,ospf,,113.0,66.62,72.25,67.67,72.46,13.82,105.0,11610.44,10.23,1806.03,568.97
