op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,error
host,h62,81,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r20,82,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h63,83,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h64,84,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h65,85,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h66,86,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h67,87,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h68,88,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h69,89,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h70,90,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h71,91,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h72,92,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r21,93,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h73,94,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h74,95,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r22,96,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h75,97,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h76,98,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r23,99,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h77,100,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h78,101,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r24,102,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h79,103,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h80,104,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h81,105,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h82,106,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h83,107,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h84,108,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r25,109,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h85,110,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h86,111,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r26,112,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h87,113,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h88,114,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h89,115,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h90,116,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r27,117,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h91,118,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h92,119,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r28,120,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h93,121,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h94,122,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h95,123,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h96,124,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r29,125,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h97,126,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h98,127,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r30,128,,,,,Sync entry did not appear within 10s (t_local may be pending)
