op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,error
host,h6,8,23.14,63.39,57.54,63.39,
router,r3,9,437.37,362.43,357.55,437.37,
host,h7,10,67.88,55.13,49.3,67.88,
host,h8,11,51.82,56.46,51.95,56.46,
router,r4,12,377.9,361.78,357.97,377.9,
host,h9,13,80.08,75.39,68.9,80.08,
host,h10,14,86.22,67.31,60.63,86.22,
host,h11,15,78.57,63.36,57.39,78.57,
host,h12,16,68.31,53.42,48.06,68.31,
router,r5,17,549.26,380.62,376.06,549.26,
host,h13,18,24.92,61.75,57.33,61.75,
host,h14,19,76.12,64.21,59.14,76.12,
router,r6,20,464.29,386.99,380.22,464.29,
host,h15,21,28.95,57.12,52.09,57.12,
host,h16,22,73.31,61.99,55.99,73.31,
router,r7,23,455.04,368.33,361.9,455.04,
host,h17,24,74.23,60.84,54.26,74.23,
host,h18,25,74.62,56.66,51.2,74.62,
router,r8,26,544.88,382.76,377.27,544.88,
host,h19,27,73.92,66.02,59.77,73.92,
host,h20,28,68.89,60.88,54.54,68.89,
host,h21,29,74.24,58.46,51.76,74.24,
host,h22,30,37.57,53.21,49.19,53.21,
host,h23,31,72.17,55.53,49.82,72.17,
host,h24,32,27.92,67.29,61.97,67.29,
host,h25,33,64.57,61.13,55.45,64.57,
host,h26,34,76.79,62.46,55.95,76.79,
host,h27,35,53.42,59.39,55.37,59.39,
host,h28,36,69.96,54.26,48.27,69.96,
host,h29,37,60.63,54.34,49.44,60.63,
host,h30,38,30.72,63.81,60.09,63.81,
host,h31,39,72.16,64.45,57.29,72.16,
router,r9,40,523.49,381.47,376.14,523.49,
host,h32,41,78.64,70.2,64.76,78.64,
host,h33,42,77.51,58.93,53.32,77.51,
router,r10,43,584.32,380.33,374.89,584.32,
host,h34,44,80.83,71.98,65.29,80.83,
host,h35,45,72.46,57.58,52.5,72.46,
router,r11,46,510.62,399.94,395.89,510.62,
host,h36,47,79.66,60.25,55.21,79.66,
host,h37,48,81.94,60.1,55.07,81.94,
router,r12,49,558.2,399.49,391.28,558.2,
host,h38,50,36.15,72.96,68.94,72.96,
host,h39,51,33.59,67.86,63.43,67.86,
host,h40,52,74.39,63.99,57.92,74.39,
host,h41,53,75.57,66.04,60.48,75.57,
host,h42,54,67.04,60.67,55.57,67.04,
host,h43,55,36.39,52.51,49.07,52.51,
host,h44,56,35.56,54.71,51.19,54.71,
host,h45,57,74.99,63.35,58.0,74.99,
host,h46,58,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h47,59,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h48,60,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r13,61,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h49,62,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h50,63,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r14,64,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h51,65,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h52,66,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r15,67,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h53,68,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h54,69,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r16,70,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h55,71,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h56,72,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r17,73,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h57,74,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h58,75,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r18,76,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h59,77,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h60,78,,,,,Sync entry did not appear within 10s (t_local may be pending)
router,r19,79,,,,,Sync entry did not appear within 10s (t_local may be pending)
host,h61,80,,,,,Sync entry did not appear within 10s (t_local may be pending)
