op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h6,8,28.28,68.3,61.82,68.3,100,11713.03,5.5,
router,r3,9,310.72,285.11,278.82,310.72,754,21156.75,11.8,
host,h7,10,80.72,64.69,53.63,80.72,100,12366.67,0.0,
host,h8,11,75.82,68.16,60.69,75.82,100,11737.09,8.4,
router,r4,12,251.33,294.64,289.39,294.64,754,20472.44,9.9,
host,h9,13,47.73,62.94,52.7,62.94,100,12710.52,6.7,
host,h10,14,76.46,70.6,61.45,76.46,101,11444.76,8.9,
host,h11,15,79.06,57.25,47.93,79.06,101,14113.54,5.8,
host,h12,16,72.17,70.14,57.44,72.17,101,11519.82,9.4,
router,r5,17,429.75,319.76,310.38,429.75,1401,35051.29,0.0,
host,h13,18,68.66,68.46,61.06,68.66,101,11802.51,0.0,
host,h14,19,77.01,67.11,56.87,77.01,101,12039.93,8.4,
router,r6,20,258.59,293.82,283.57,293.82,1401,38145.8,10.7,
host,h15,21,67.5,66.99,60.29,67.5,101,12061.5,0.0,
host,h16,22,69.86,75.63,65.57,75.63,101,10683.59,0.0,
router,r7,23,288.38,298.64,293.74,298.64,861,23064.56,7.1,
host,h17,24,80.31,73.84,62.31,80.31,101,10942.58,7.8,
host,h18,25,75.08,64.61,55.42,75.08,101,12505.8,9.1,
router,r8,26,375.66,304.7,295.52,375.66,861,22605.84,8.0,
host,h19,27,75.34,68.23,58.5,75.34,101,11842.3,7.8,
host,h20,28,69.71,65.9,55.16,69.71,101,12261.0,7.9,
host,h21,29,78.58,59.29,52.39,78.58,101,13627.93,7.8,
host,h22,30,30.45,53.82,48.74,53.82,101,15013.01,8.1,
host,h23,31,56.25,71.26,63.94,71.26,101,11338.76,8.9,
host,h24,32,31.01,61.61,57.27,61.61,101,13114.75,7.9,
host,h25,33,31.55,57.99,53.83,57.99,101,13933.44,8.1,
host,h26,34,53.91,63.52,55.98,63.52,101,12720.4,8.0,
host,h27,35,75.69,64.91,54.56,75.69,101,12448.0,0.0,
host,h28,36,77.87,77.42,67.57,77.87,101,10436.58,9.3,
host,h29,37,70.67,70.35,58.57,70.67,101,11485.43,9.0,
host,h30,38,68.19,68.15,59.17,68.19,101,11856.2,10.3,
host,h31,39,58.73,68.81,59.93,68.81,101,11742.48,8.8,
router,r9,40,307.24,299.75,296.37,307.24,861,22979.15,8.8,
host,h32,41,77.59,71.97,62.46,77.59,101,11226.9,8.5,
host,h33,42,51.68,70.3,62.02,70.3,101,11493.6,7.8,
router,r10,43,237.29,325.78,321.76,325.78,874,21462.34,0.0,
host,h34,44,80.67,68.47,60.13,80.67,105,12268.15,8.2,
host,h35,45,75.53,66.67,60.84,75.53,105,12599.37,8.2,
router,r11,46,345.04,333.33,325.09,345.04,1530,36720.37,8.2,
host,h36,47,35.12,65.4,61.45,65.4,105,12844.04,0.0,
host,h37,48,78.08,64.62,58.82,78.08,105,12999.07,0.0,
router,r12,49,298.61,320.78,316.02,320.78,1535,38281.69,15.0,
host,h38,50,41.09,82.66,76.81,82.66,105,10162.11,9.2,
host,h39,51,32.71,74.29,69.34,74.29,105,11307.04,8.6,
host,h40,52,71.0,72.79,59.97,72.79,101,11100.43,0.0,
host,h41,53,71.4,72.02,62.05,72.02,101,11219.11,9.5,
host,h42,54,34.32,72.73,65.58,72.73,101,11109.58,8.6,
host,h43,55,77.05,67.38,57.6,77.05,101,11991.69,9.6,
host,h44,56,30.26,65.41,60.85,65.41,101,12352.85,12.3,
host,h45,57,77.19,68.14,58.58,77.19,101,11857.94,11.0,
host,h46,58,34.62,64.37,58.88,64.37,105,13049.56,10.3,
host,h47,59,69.27,72.06,61.52,72.06,105,11656.95,11.3,
host,h48,60,43.32,59.35,53.46,59.35,105,14153.33,10.4,
router,r13,61,321.28,344.51,339.32,344.51,741,17207.05,13.6,
host,h49,62,76.43,91.95,75.69,91.95,105,9135.4,0.0,
host,h50,63,68.79,62.55,53.74,68.79,105,13429.26,9.8,
router,r14,64,320.55,352.95,344.96,352.95,750,16999.58,9.4,
host,h51,65,39.39,68.59,64.72,68.59,105,12246.68,8.8,
host,h52,66,33.77,62.76,58.37,62.76,105,13384.32,11.9,
router,r15,67,283.65,361.1,353.83,361.1,887,19651.07,9.4,
host,h53,68,84.13,76.14,65.12,84.13,105,11032.31,9.1,
host,h54,69,77.14,73.69,60.95,77.14,105,11399.1,9.2,
router,r16,70,300.26,374.39,363.52,374.39,887,18953.5,9.2,
host,h55,71,82.5,74.05,63.9,82.5,105,11343.69,7.0,
host,h56,72,35.56,67.57,63.46,67.57,105,12431.55,0.0,
router,r17,73,294.56,345.56,341.4,345.56,750,17363.12,9.7,
host,h57,74,79.01,74.66,65.59,79.01,105,11251.0,9.0,
host,h58,75,76.7,115.14,102.18,115.14,105,7295.47,8.6,
router,r18,76,346.18,376.24,364.34,376.24,751,15968.53,9.1,
host,h59,77,77.14,75.47,69.25,77.14,105,11130.25,9.1,
host,h60,78,83.31,72.14,65.07,83.31,105,11644.03,8.8,
router,r19,79,318.67,394.86,387.34,394.86,1421,28789.95,8.9,
host,h61,80,81.98,74.11,67.89,81.98,105,11334.5,0.0,
host,h62,81,30.81,70.69,65.03,70.69,105,11882.87,8.9,
router,r20,82,295.31,393.64,385.51,393.64,1422,28899.5,9.9,
host,h63,83,75.98,81.56,69.54,81.56,105,10299.17,7.2,
host,h64,84,77.69,78.88,70.92,78.88,105,10649.09,8.9,
host,h65,85,82.07,103.36,97.92,103.36,105,8126.93,9.0,
host,h66,86,43.27,93.96,87.75,93.96,105,8939.97,12.3,
host,h67,87,78.25,75.47,66.94,78.25,105,11130.25,10.7,
host,h68,88,80.97,84.45,79.3,84.45,105,9946.71,10.9,
host,h69,89,83.38,69.8,62.04,83.38,105,12034.38,10.6,
host,h70,90,89.66,70.23,58.17,89.66,105,11960.7,11.0,
host,h71,91,42.62,66.72,62.33,66.72,105,12589.93,9.3,
host,h72,92,39.71,64.29,60.84,64.29,105,13065.8,0.0,
router,r21,93,298.5,424.31,420.94,424.31,751,14159.46,12.7,
host,h73,94,89.96,75.06,65.63,89.96,105,11191.05,0.0,
host,h74,95,36.69,63.98,60.59,63.98,105,13129.1,0.0,
router,r22,96,351.57,423.72,417.55,423.72,751,14179.17,11.1,
host,h75,97,86.16,79.88,71.45,86.16,105,10515.77,9.6,
host,h76,98,60.27,68.42,60.33,68.42,105,12277.11,0.0,
router,r23,99,294.35,426.19,422.89,426.19,889,16687.39,0.0,
host,h77,100,88.05,90.04,83.33,90.04,105,9329.19,0.0,
host,h78,101,85.14,73.27,62.78,85.14,105,11464.45,9.4,
router,r24,102,365.08,414.01,407.51,414.01,889,17178.33,10.1,
host,h79,103,71.03,74.92,68.47,74.92,105,11211.96,0.0,
host,h80,104,87.52,73.72,63.58,87.52,105,11394.47,9.4,
host,h81,105,67.04,68.98,62.57,68.98,105,12177.44,9.6,
host,h82,106,46.89,74.24,70.08,74.24,105,11314.66,8.2,
host,h83,107,45.4,69.87,66.04,69.87,105,12022.33,9.3,
