op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h84,108,83.13,82.67,72.5,83.13,105,10160.88,9.4,
router,r25,109,376.39,446.82,435.17,446.82,1284,22989.12,9.4,
host,h85,110,43.72,84.12,78.33,84.12,105,9985.73,0.0,
host,h86,111,77.66,86.3,78.76,86.3,105,9733.49,9.6,
router,r26,112,340.65,445.63,440.42,445.63,1284,23050.51,16.8,
host,h87,113,40.84,79.66,75.59,79.66,105,10544.82,7.5,
host,h88,114,50.23,76.64,72.21,76.64,105,10960.33,15.3,
host,h89,115,40.14,87.47,83.79,87.47,105,9603.29,9.5,
host,h90,116,43.0,79.94,76.25,79.94,105,10507.88,9.5,
router,r27,117,304.33,426.15,420.41,426.15,889,16688.96,10.0,
host,h91,118,44.58,78.14,74.3,78.14,105,10749.94,0.0,
host,h92,119,41.87,86.7,83.25,86.7,105,9688.58,9.7,
router,r28,120,319.79,445.57,437.35,445.57,889,15961.58,10.0,
host,h93,121,43.32,82.7,77.48,82.7,105,10157.19,0.0,
host,h94,122,101.64,84.8,75.22,101.64,105,9905.66,0.0,
host,h95,123,61.65,98.25,73.81,98.25,105,8549.62,9.7,
host,h96,124,55.67,79.31,75.76,79.31,105,10591.35,7.9,
router,r29,125,430.43,426.9,417.25,430.43,751,14073.55,9.8,
host,h97,126,43.94,83.91,78.8,83.91,105,10010.73,0.0,
host,h98,127,45.86,82.35,77.51,82.35,105,10200.36,9.5,
router,r30,128,357.11,456.25,446.24,456.25,751,13168.22,10.6,
