op_type,op_name,routing_mode,error,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,capacity_ops_s,payload_bytes,throughput_bps,cpu_percent,system_mem_mb,frr_total_mb
host,h55,manual,,71.0,54.74,61.79,56.87,61.79,16.2,105.0,13607.13,6.67,1461.97,122.83
host,h56,manual,,72.0,52.98,62.91,58.12,62.91,15.92,105.0,13372.86,9.33,1462.67,122.83
router,r17,manual,,73.0,97.67,107.9,102.93,107.9,9.32,750.0,55884.09,6.37,1465.53,122.67
host,h57,manual,,74.0,56.8,62.98,58.2,62.98,15.89,105.0,13348.48,10.5,1466.2,122.73
host,h58,manual,,75.0,55.24,61.64,56.88,61.64,16.29,105.0,13678.4,6.47,1467.13,122.73
router,r18,manual,,76.0,100.4,111.98,106.59,111.98,8.94,751.0,53730.01,2.7,1470.73,122.63
host,h59,manual,,77.0,56.21,62.25,57.21,62.25,16.09,105.0,13516.77,9.53,1471.2,122.7
host,h60,manual,,78.0,57.25,62.87,58.28,62.87,15.98,105.0,13427.47,8.9,1471.9,122.73
router,r19,manual,,79.0,111.37,125.81,120.17,125.81,7.97,1421.0,90555.46,3.2,1471.73,122.6
host,h61,manual,,80.0,59.1,63.24,58.42,64.07,15.62,105.0,13125.85,10.17,1472.47,122.63
host,h62,manual,,81.0,59.76,60.67,56.07,60.94,16.48,105.0,13846.1,8.33,1472.43,122.7
router,r20,manual,,82.0,115.94,125.26,118.77,125.26,8.0,1422.0,90991.33,3.27,1470.5,122.63
host,h63,manual,,83.0,55.82,63.64,58.84,63.64,15.72,105.0,13201.01,7.13,1471.2,122.67
host,h64,manual,,84.0,54.55,65.17,60.51,65.17,15.5,105.0,13014.86,9.9,1472.4,122.67
host,h65,manual,,85.0,58.29,63.94,58.98,63.94,15.65,105.0,13145.0,0.0,1472.6,122.67
host,h66,manual,,86.0,57.07,62.95,58.31,62.95,15.9,105.0,13352.78,6.67,1473.13,122.67
host,h67,manual,,87.0,56.34,63.56,58.82,63.56,15.75,105.0,13232.74,6.63,1473.77,122.67
host,h68,manual,,88.0,57.46,64.89,59.84,64.89,15.42,105.0,12948.0,6.67,1474.67,122.67
host,h69,manual,,89.0,56.92,62.37,57.57,62.37,16.05,105.0,13480.5,6.67,1475.23,122.67
host,h70,manual,,90.0,56.95,65.23,60.75,65.23,15.33,105.0,12878.15,6.77,1476.63,122.67
host,h71,manual,,91.0,56.49,61.79,57.08,61.79,16.2,105.0,13604.84,7.47,1477.1,122.67
host,h72,manual,,92.0,58.89,64.81,59.88,64.81,15.48,105.0,12999.76,6.8,1477.73,122.67
router,r21,manual,,93.0,105.23,131.33,125.57,131.33,7.75,751.0,46546.94,7.5,1482.8,122.6
host,h73,manual,,94.0,58.87,63.63,58.76,63.99,15.67,105.0,13159.02,8.83,1483.07,122.63
